City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Khandyga,RU,2022-06-13 21:48:52,62.6667,135.6,288.62,60,36,2.89
229,Mandan,US,2022-06-13 21:46:26,46.8267,-100.8896,300.14,83,75,6.69
230,Guanare,VE,2022-06-13 21:48:53,9.0418,-69.7421,303.16,66,100,2.06
231,Los Llanos De Aridane,ES,2022-06-13 21:48:53,28.6585,-17.9182,293.01,83,4,1.54
232,Nouakchott,MR,2022-06-13 21:48:54,18.0858,-15.9785,296.11,87,21,5.4
233,Muravlenko,RU,2022-06-13 21:49:05,63.7898,74.523,289.07,78,100,3.29
234,Kochi,IN,2022-06-13 21:49:05,9.9399,76.2602,297.14,87,69,2.53
235,Ribeira Grande,PT,2022-06-13 21:44:48,38.5167,-28.7,290.64,81,28,5.88
236,Christchurch,NZ,2022-06-13 21:49:06,-43.5333,172.6333,285.08,54,5,5.14
237,Rosehearty,GB,2022-06-13 21:49:07,57.697,-2.1132,285.71,74,99,4.59
238,Port Augusta,AU,2022-06-13 21:49:08,-32.5,137.7667,283.39,62,62,7.56
239,Zhuhai,CN,2022-06-13 21:49:09,22.2769,113.5678,302.03,94,40,6.17
240,College,US,2022-06-13 21:49:09,64.8569,-147.8028,296.81,36,40,3.09
241,Longyearbyen,SJ,2022-06-13 21:44:33,78.2186,15.6401,278.06,65,75,1.54
242,Daru,PG,2022-06-13 21:49:10,-9.0763,143.2092,298.94,88,41,6.61
243,Oussouye,SN,2022-06-13 21:49:11,12.485,-16.5469,300.25,78,60,4.67
244,Kizilskoye,RU,2022-06-13 21:49:11,52.7255,58.8937,282.54,88,10,1.89
245,Road Town,VG,2022-06-13 21:49:12,18.4167,-64.6167,303.2,70,40,6.69
246,Ambon,ID,2022-06-13 21:49:13,-3.6954,128.1814,297.17,16,20,1.03
247,Kargasok,RU,2022-06-13 21:49:14,59.0556,80.8572,285.63,96,67,2.5
248,Xinzhi,CN,2022-06-13 21:49:14,36.4989,111.7047,293.44,40,0,1.51
249,Nhamunda,BR,2022-06-13 21:49:16,-2.1861,-56.7131,296.94,96,40,0.26
250,Dunedin,NZ,2022-06-13 21:49:16,-45.8742,170.5036,279.71,72,93,5.81
251,Tomatlan,MX,2022-06-13 21:49:17,19.9333,-105.25,305.55,49,7,5.14
252,Santos Reyes Nopala,MX,2022-06-13 21:49:17,16.1092,-97.1561,296.43,87,98,1.71
253,Yerbogachen,RU,2022-06-13 21:49:18,61.2767,108.0108,286.91,62,30,1.16
254,Hofn,IS,2022-06-13 21:49:19,64.2539,-15.2082,283.19,100,100,5.29
255,Husavik,IS,2022-06-13 21:49:19,66.0449,-17.3389,285.12,76,100,2.46
256,Kupang,ID,2022-06-13 21:49:20,-10.1667,123.5833,298.39,75,88,5.01
257,Nanortalik,GL,2022-06-13 21:45:17,60.1432,-45.2371,276.69,79,3,12.34
258,Turayf,SA,2022-06-13 21:49:21,31.6725,38.6637,296.29,56,0,5.14
259,Asbe Teferi,ET,2022-06-13 21:49:22,9.0833,40.8667,289.04,76,95,2.97
260,Mujiayingzi,CN,2022-06-13 21:49:23,42.1167,118.7833,288.17,73,42,1.24
261,Sangueya,GN,2022-06-13 21:49:23,10.7,-14.3667,298.79,88,100,2.19
262,Niamey,NE,2022-06-13 21:49:24,13.5137,2.1098,309.31,30,0,2.06
263,Tateyama,JP,2022-06-13 21:49:25,34.9833,139.8667,291.54,76,100,6.75
264,Bonavista,CA,2022-06-13 21:49:25,48.6499,-53.1147,280.22,77,24,5.54
265,Luganville,VU,2022-06-13 21:49:26,-15.5333,167.1667,300.64,79,46,3.54
266,Aleksandrov Gay,RU,2022-06-13 21:49:26,50.147,48.5704,289.46,61,0,2.49
267,Bathsheba,BB,2022-06-13 21:49:27,13.2167,-59.5167,298.49,88,75,3.6
268,Wajir,KE,2022-06-13 21:49:28,1.7471,40.0573,297.72,68,31,6.92
269,Pimentel,PE,2022-06-13 21:49:29,-6.8367,-79.9342,293.31,60,0,7.2
270,Miranda,CO,2022-06-13 21:49:30,3.2499,-76.2281,297.22,90,84,0.8
271,Severo-Kurilsk,RU,2022-06-13 21:44:44,50.6789,156.125,280.43,91,99,5.86
272,Tautira,PF,2022-06-13 21:49:31,-17.7333,-149.15,299.09,71,59,8.7
273,Sao Filipe,CV,2022-06-13 21:49:31,14.8961,-24.4956,297.01,73,18,4.5
274,Ayr,GB,2022-06-13 21:46:42,55.4627,-4.6339,285.14,82,20,3.6
275,Altay,CN,2022-06-13 21:49:32,47.8667,88.1167,293.13,48,84,1.48
276,Nome,US,2022-06-13 21:49:33,64.5011,-165.4064,280.19,71,100,4.63
277,Mahibadhoo,MV,2022-06-13 21:44:47,3.7833,72.9667,301.51,74,53,4.29
278,Kaitangata,NZ,2022-06-13 21:49:44,-46.2817,169.8464,278.17,89,93,8.05
279,Acarau,BR,2022-06-13 21:49:45,-2.8856,-40.12,298.95,80,5,6.04
280,Itarantim,BR,2022-06-13 21:49:45,-15.6597,-40.0656,293.8,92,82,3.65
281,Mount Gambier,AU,2022-06-13 21:49:46,-37.8333,140.7667,281.16,76,100,4.37
282,Tiksi,RU,2022-06-13 21:44:55,71.6872,128.8694,283.21,56,100,0.91
283,Berlevag,NO,2022-06-13 21:49:47,70.8578,29.0864,280.04,81,100,5.66
284,Bairiki,KI,2022-06-13 21:49:48,1.3292,172.9752,302.15,70,20,4.12
285,Saint George,US,2022-06-13 21:49:48,37.1041,-113.5841,308.5,16,0,10.29
286,Tiarei,PF,2022-06-13 21:49:49,-17.5333,-149.3333,302.16,70,28,9.69
287,Castro,BR,2022-06-13 21:49:50,-24.7911,-50.0119,280.93,79,0,1.36
288,Kloulklubed,PW,2022-06-13 21:49:50,7.0419,134.2556,297.43,73,81,5.94
289,Maniitsoq,GL,2022-06-13 21:49:51,65.4167,-52.9,275.64,74,11,8.37
290,Tiznit,MA,2022-06-13 21:49:52,29.5833,-9.5,299.61,54,27,0.96
291,Okha,RU,2022-06-13 21:49:52,53.5739,142.9478,287.29,67,96,4.56
292,Mana,GF,2022-06-13 21:49:53,5.6592,-53.7767,298.32,86,94,2.73
293,Deputatskiy,RU,2022-06-13 21:49:54,69.3,139.9,285.94,51,94,2.05
